Volume,Adj Close,,,,,,,,,,,,,,,CNY,"A,B"
21400,40.95,,,,,,,,,,,,,,,,
5700,40.91,,,,,,,,,,,,,,,,
16200,40.87,,,,,,,,,,,,,,,,
9200,40.93,,,,,,,,,,,,,,,,
38400,40.93,,,,,,,,,,,,,,,,
30700,40.83,,,,,,,,,,,,,,,,
28600,40.74,,,,,,,,,,,,,,,,
13100,40.79,,,,,,,,,,,,,,,,
31800,40.81,,,,,,,,,,,,,,,,
2700,40.78,,,,,,,,,,,,,,,,
11600,40.83,,,,,,,,,,,,,,,,
17900,40.87,,,,,,,,,,,,,,,,
7700,40.91,,,,,,,,,,,,,,,,
20400,40.82,,,,,,,,,,,,,,,,
35000,40.82,,,,,,,,,,,,,,,,
19700,40.73,,,,,,,,,,,,,,,,
37700,40.88,,,,,,,,,,,,,,,,
10400,40.88,,,,,,,,,,,,,,,,
7400,40.87,,,,,,,,,,,,,,,,
30700,41.06,,,,,,,,,,,,,,,,
77200,41.08,,,,,,,,,,,,,,,,
22500,40.99,,,,,,,,,,,,,,,,
21300,40.62,,,,,,,,,,,,,,,,
27000,40.63,,,,,,,,,,,,,,,,
6700,40.63,,,,,,,,,,,,,,,,
27700,40.75,,,,,,,,,,,,,,,,
27700,40.75,,,,,,,,,,,,,,,,
24100,40.61,,,,,,,,,,,,,,,,
61000,40.73,,,,,,,,,,,,,,,,
42500,40.75,,,,,,,,,,,,,,,,
5800,40.67,,,,,,,,,,,,,,,,
6300,40.6,,,,,,,,,,,,,,,,
7600,40.56,,,,,,,,,,,,,,,,
4200,40.74,,,,,,,,,,,,,,,,
5800,40.84,,,,,,,,,,,,,,,,
8500,40.93,,,,,,,,,,,,,,,,
21500,40.85,,,,,,,,,,,,,,,,
27000,40.81,,,,,,,,,,,,,,,,
5900,40.89,,,,,,,,,,,,,,,,
17800,40.85,,,,,,,,,,,,,,,,
6300,40.79,,,,,,,,,,,,,,,,
4400,40.8,,,,,,,,,,,,,,,,
26100,40.82,,,,,,,,,,,,,,,,
3300,40.81,,,,,,,,,,,,,,,,
2400,40.89,,,,,,,,,,,,,,,,
3100,40.99,,,,,,,,,,,,,,,,
23500,40.95,,,,,,,,,,,,,,,,
2800,40.84,,,,,,,,,,,,,,,,
26700,40.95,,,,,,,,,,,,,,,,
7000,40.92,,,,,,,,,,,,,,,,
1700,40.9,,,,,,,,,,,,,,,,
12000,41,,,,,,,,,,,,,,,,
1000,41.12,,,,,,,,,,,,,,,,
6600,41.12,,,,,,,,,,,,,,,,
5100,41.23,,,,,,,,,,,,,,,,
4700,41.05,,,,,,,,,,,,,,,,
12000,41.02,,,,,,,,,,,,,,,,
3700,41.18,,,,,,,,,,,,,,,,
3700,41.13,,,,,,,,,,,,,,,,
13700,41.15,,,,,,,,,,,,,,,,
2900,41.07,,,,,,,,,,,,,,,,
1400,40.98,,,,,,,,,,,,,,,,
600,41,,,,,,,,,,,,,,,,
1200,41,,,,,,,,,,,,,,,,
1500,41.03,,,,,,,,,,,,,,,,
700,41.06,,,,,,,,,,,,,,,,
5500,41,,,,,,,,,,,,,,,,
2900,40.95,,,,,,,,,,,,,,,,
8700,40.98,,,,,,,,,,,,,,,,
7200,41.11,,,,,,,,,,,,,,,,
1500,40.9,,,,,,,,,,,,,,,,
4400,40.85,,,,,,,,,,,,,,,,
7600,41.07,,,,,,,,,,,,,,,,
5600,41.09,,,,,,,,,,,,,,,,
15800,41,,,,,,,,,,,,,,,,
5300,40.98,,,,,,,,,,,,,,,,
5100,40.96,,,,,,,,,,,,,,,,
4200,40.97,,,,,,,,,,,,,,,,
6600,41,,,,,,,,,,,,,,,,
6700,40.93,,,,,,,,,,,,,,,,
2700,40.89,,,,,,,,,,,,,,,,
900,40.82,,,,,,,,,,,,,,,,
16600,40.81,,,,,,,,,,,,,,,,
23800,40.89,,,,,,,,,,,,,,,,
7300,40.86,,,,,,,,,,,,,,,,
